City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Suleja,NG,81.59,light rain,9.1758,7.1808,Capy Motel
9,Puerto Ayora,EC,75.4,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
11,Hobart,AU,76.23,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
13,Bengkulu,ID,83.46,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
19,Samarai,PG,83.66,overcast clouds,-10.6167,150.6667,Nuli Sapi
26,Mareeba,AU,80.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
30,Mogadishu,SO,82.47,overcast clouds,2.0371,45.3438,Hotel Juba
38,Pak Phanang,TH,84.22,overcast clouds,8.3511,100.202,Green Park Inn Hotel
42,Rikitea,PF,78.82,scattered clouds,-23.1203,-134.9692,People ThankYou
47,Ouallam,NE,82.63,overcast clouds,14.3188,2.0866,
49,Tahoua,NE,80.58,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
58,Bima,ID,87.62,overcast clouds,-8.4667,118.7167,Lambitu Hotel
62,Salalah,OM,77.59,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
64,Atuona,PF,78.84,light rain,-9.8,-139.0333,Villa Enata
68,Porto Novo,BJ,79.9,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
69,San Patricio,US,78.89,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
70,Tura,IN,76.64,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
75,Abu Dhabi,AE,84.22,clear sky,24.4667,54.3667,Beach Rotana
78,Prado,BR,76.23,light rain,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
80,Narathiwat,TH,89.51,overcast clouds,6.3333,101.75,MUSOR
81,Butaritari,KI,81.91,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
82,Hambantota,LK,77.34,broken clouds,6.1241,81.1185,Bungalow 63
88,Mahebourg,MU,76.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
93,Labuhan,ID,84.69,scattered clouds,-6.8844,112.2051,DoubleFAG
96,Port Augusta,AU,82.35,light rain,-32.5,137.7667,Majestic Oasis Apartments
98,Mecca,SA,80.56,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
101,Sarangani,PH,82.29,scattered clouds,5.4033,125.4636,Ballistic Islet
102,Balabac,PH,83.88,broken clouds,7.9868,117.0645,Batalla’s Lodging House
104,Gigmoto,PH,81.28,overcast clouds,13.7796,124.39,Cj's Travellers Inn
105,Kavieng,PG,84.51,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
106,Quatre Cocos,MU,76.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
107,Caravelas,BR,77.77,light rain,-17.7125,-39.2481,Pousada dos Navegantes
109,Mbini,GQ,78.42,overcast clouds,1.574,9.6134,
115,Chisec,GT,76.08,broken clouds,15.8167,-90.2833,Hotel Estancia De La Virgen
116,Vaini,TO,80.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
119,Tirumullaivasal,IN,85.23,moderate rain,11.2333,79.8333,
122,Mumford,GH,78.44,overcast clouds,5.2618,-0.759,Spanish Villa
125,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
128,Harper,LR,76.98,moderate rain,4.375,-7.7169,Screensaver
129,Itarema,BR,77.79,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
137,Buala,SB,83.19,light rain,-8.145,159.5921,Maringe Lagoon Lodge
139,Waingapu,ID,85.42,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
145,New Norfolk,AU,75.88,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
148,Sohag,EG,79.34,clear sky,26.557,31.6948,Civil Registry - Sohag 1
152,Wattegama,LK,78.67,broken clouds,6.7989,81.4808,
153,Sao Jose Da Coroa Grande,BR,79.07,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
160,Cusuna,HN,76.12,clear sky,15.85,-85.2333,San Francisco de la paz
161,Pedernales,DO,78.49,overcast clouds,18.0384,-71.744,Hotel Costa Marina
