City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Torbay,47.6666,-52.7314,45.39,scattered clouds,64,40,25.32,CA
1,Mehamn,71.0357,27.8492,37.33,overcast clouds,89,100,29.53,NO
2,Yellowknife,62.456,-114.3525,14.52,broken clouds,48,75,9.22,CA
3,Ahipara,-35.1667,173.1667,68.0,overcast clouds,69,100,17.34,NZ
4,Oktyabrskoye,43.0645,44.7417,32.14,clear sky,100,0,8.95,RU
5,Punta Arenas,-53.15,-70.9167,46.51,scattered clouds,81,40,13.8,CL
6,Francisco Beltrao,-26.0811,-53.055,52.99,clear sky,84,0,3.31,BR
7,Hilo,19.7297,-155.09,73.27,heavy intensity rain,92,100,4.61,US
8,Suleja,9.1758,7.1808,81.59,light rain,73,95,2.17,NG
9,Puerto Ayora,-0.7393,-90.3518,75.4,broken clouds,91,79,5.32,EC
10,Busselton,-33.65,115.3333,63.77,broken clouds,47,52,10.69,AU
11,Hobart,-42.8794,147.3294,76.23,clear sky,61,0,14.97,AU
12,Saskylakh,71.9167,114.0833,18.72,overcast clouds,92,100,18.99,RU
13,Bengkulu,-3.8004,102.2655,83.46,overcast clouds,70,89,2.75,ID
14,Port Alfred,-33.5906,26.891,58.17,overcast clouds,93,100,9.35,ZA
15,Airai,-8.9266,125.4092,74.34,scattered clouds,59,29,1.7,TL
16,Rocha,-34.4833,-54.3333,53.83,clear sky,91,0,1.79,UY
17,Atasu,48.6814,71.6433,56.91,overcast clouds,25,100,4.9,KZ
18,Bluff,-46.6,168.3333,53.8,overcast clouds,57,93,8.01,NZ
19,Samarai,-10.6167,150.6667,83.66,overcast clouds,73,99,7.0,PG
20,Pevek,69.7008,170.3133,7.65,overcast clouds,89,100,6.44,RU
21,Mataura,-46.1927,168.8643,53.47,overcast clouds,48,99,4.25,NZ
22,Saldanha,-33.0117,17.9442,57.25,clear sky,69,0,9.95,ZA
23,Ponta Delgada,37.7333,-25.6667,61.52,few clouds,82,20,10.36,PT
24,Ulladulla,-35.35,150.4667,72.5,clear sky,50,2,9.89,AU
25,Guerrero Negro,27.9769,-114.0611,60.49,scattered clouds,83,46,19.48,MX
26,Mareeba,-17.0,145.4333,80.44,overcast clouds,69,100,7.0,AU
27,Qaanaaq,77.484,-69.3632,-19.86,clear sky,73,8,7.36,GL
28,Kapaa,22.0752,-159.319,73.38,heavy intensity rain,97,97,5.01,US
29,Wiarton,44.7407,-81.1332,31.03,broken clouds,69,75,8.05,CA
30,Mogadishu,2.0371,45.3438,82.47,overcast clouds,79,100,10.78,SO
31,Port Elizabeth,-33.918,25.5701,61.32,few clouds,91,20,8.05,ZA
32,Ushuaia,-54.8,-68.3,37.06,clear sky,81,0,4.61,AR
33,Kurchum,48.5722,83.6542,51.71,clear sky,26,0,4.45,KZ
34,Lebu,-37.6167,-73.65,52.97,scattered clouds,93,45,10.98,CL
35,Khatanga,71.9667,102.5,21.58,overcast clouds,95,88,8.1,RU
36,Tuktoyaktuk,69.4541,-133.0374,3.2,broken clouds,72,75,6.91,CA
37,Chuy,-33.6971,-53.4616,59.18,clear sky,85,0,5.39,UY
38,Pak Phanang,8.3511,100.202,84.22,overcast clouds,71,100,4.05,TH
39,Barrow,71.2906,-156.7887,9.28,clear sky,85,7,14.99,US
40,Visby,57.6409,18.296,35.82,broken clouds,69,75,6.91,SE
41,Victoria,22.2855,114.1577,71.26,overcast clouds,77,99,11.01,HK
42,Rikitea,-23.1203,-134.9692,78.82,scattered clouds,68,32,12.93,PF
43,Kidal,18.4411,1.4078,74.86,overcast clouds,17,100,12.17,ML
44,Port Hardy,50.6996,-127.4199,48.38,scattered clouds,53,40,16.11,CA
45,Arica,-18.475,-70.3042,62.83,clear sky,77,0,2.3,CL
46,Bayan,46.0833,127.4,48.7,clear sky,21,1,13.29,CN
47,Ouallam,14.3188,2.0866,82.63,overcast clouds,9,92,10.04,NE
48,Saint-Philippe,-21.3585,55.7679,72.99,scattered clouds,78,39,8.66,RE
49,Tahoua,14.8888,5.2692,80.58,overcast clouds,12,99,9.33,NE
50,Blackpool,53.8167,-3.05,55.72,overcast clouds,95,90,8.08,GB
51,Saurimo,-9.6608,20.3916,63.91,light rain,99,100,3.89,AO
52,San Felipe,10.3399,-68.7425,73.49,light rain,95,62,3.89,VE
53,Serik,36.9169,31.0989,55.65,overcast clouds,50,100,3.67,TR
54,Sitka,57.0531,-135.33,41.58,overcast clouds,69,97,3.65,US
55,Jamestown,42.097,-79.2353,37.02,broken clouds,57,61,5.01,US
56,Castro,-24.7911,-50.0119,49.57,clear sky,96,0,5.3,BR
57,Vardo,70.3705,31.1107,38.26,overcast clouds,83,100,29.17,NO
58,Bima,-8.4667,118.7167,87.62,overcast clouds,65,86,1.99,ID
59,Antofagasta,-23.65,-70.4,60.93,broken clouds,81,60,5.06,CL
60,Klaksvik,62.2266,-6.589,47.32,moderate rain,97,100,22.53,FO
61,Mar Del Plata,-38.0023,-57.5575,62.1,fog,89,91,8.01,AR
62,Salalah,17.0151,54.0924,77.59,clear sky,70,0,0.87,OM
63,West Chester,39.9607,-75.6055,53.73,overcast clouds,82,100,8.05,US
64,Atuona,-9.8,-139.0333,78.84,light rain,80,84,17.09,PF
65,Ondangwa,-17.9167,15.95,71.96,overcast clouds,61,99,2.39,NA
66,Hermanus,-34.4187,19.2345,56.8,clear sky,82,5,13.42,ZA
67,Dikson,73.5069,80.5464,6.53,overcast clouds,94,100,14.54,RU
68,Porto Novo,6.4965,2.6036,79.9,overcast clouds,82,100,4.83,BJ
